CODIGO,PRODUCTO,CLIENTE,CANTIDAD,PRECIO
00001,ALIVIOL 3000,Farmacia Nueva Chingolo,1,24.500
000123,ALIVIOL 3000,Farmacia Nueva Chingolo,2,52.305
00356,ALIVIOL 3000,Farmacia Nueva Chingolo,3,24.500
00111,ALIVIOL 3000,Farmacia Nueva Chingolo,4,24.500
01288,ALIVIOL 3000,Farmacia Nueva Chingolo,5,24.500
00999,ALIVIOL 3000,Farmacia Nueva Chingolo,6,24.500
1234,Cafiaspirina,Jose S.A,568,12.36
00001,ibuprofeno,Juan SRL,2,300
0002,Don Satur,Don,400,12.50
222,aspirinete,Flor,6,8
123,Ketorolac,Isa,10,500
123456,TEST,Juan,60000,1.50
